ISBN,Type,Title,Author,Publisher,Genre,Format,Unit Price,Publication Date,Pages,Length,Narrator,Rating
978-0-9838906-8-3,eBook,Study ability take,Nicole Parrish,Faber & Faber,Reference Book,Digital,23.13,11/07/1992,239,,,1.33
978-0-06-982862-3,Book,Send power trial,Ronald Stewart,Hachette Livre,History,Paperback,13.65,19/12/1985,221,,,2.48
978-0-87043-075-6,eBook,To mean yard enter last clear,Sharon Jordan,Faber & Faber,Crime Fiction,Digital,18.28,29/04/1981,219,,,2.34
978-1-265-11393-3,Book,Behavior large style huge operation protect,Joanna Brown,Severn House,Horror,Paperback,74.12,18/05/1992,259,,,1.22
978-0-546-13424-7,Book,Remain nothing look,Victoria Robertson,Corner Stone,True Crime,Paperback,30.95,17/05/1969,312,,,1.04
978-0-237-54126-2,AudioBook,Almost itself white,Joshua Robinson,Bloomsbury,Adventure Fiction,Audio,85.31,13/05/1979,0,05:06,Nigel Planer,3.44
978-1-4019-5592-2,Book,Health stock guy you actually,Ivan Cook,Joffe Books,Thriller,Paperback,81.85,10/10/1941,103,,,2.3
978-1-171-97368-3,Book,Article base go where building,Victor Wilcox,Penguin Books,Comedy,Hardback,16.41,05/06/1940,216,,,1.74
978-1-62630-242-6,Magazine,Various item poor probably moment relate,Andrew Fowler,Pearson,Memoir and Autobiography,Paperback,20.88,10/05/2009,230,,,3.37
978-0-629-83573-3,eBook,Single get travel,Jason Carter,Harper Collins,Comics,Digital,12.54,14/05/1980,140,,,2.07
978-0-06-250625-2,Book,Boy manager line theory,Matthew Alvarez,Cambridge University Press,True Crime,Paperback,32.1,28/11/1958,211,,,2.5
978-0-87054-558-0,Book,Computer human career tax of involve,Nathaniel Bradford,Harper Collins,Classic Fiction,Paperback,78.69,05/02/1992,251,,,1.9
978-1-350-85290-7,Book,Conference people throughout,Dylan Hill,Transworld,Crime Fiction,Paperback,524.44,24/10/1986,239,,,1.93
978-1-191-28850-7,Magazine,Attention yeah enjoy degree,Luis Young,Joffe Books,Action,Hardback,165.15,01/02/1962,189,,,3.09
978-0-7818-8639-0,eBook,Me those glass present reality,Angela Rocha,Severn House,Comics,Digital,17.27,19/11/1941,170,,,0.97
978-0-529-47733-0,AudioBook,Free open produce treat political reach,Ronald Shaw,Pearson,Romance,Audio,22.8,22/02/1966,0,02:34,Dion Graham,2.42
978-0-87329-569-7,AudioBook,Think sure growth general fear career,Billy Jones,Hachette Livre,Gardening and Nature,Audio,44.72,23/04/2005,0,04:09,Julia Whelan,3.39
978-1-78970-525-6,eBook,Call hope million benefit goal,Rhonda Dunn,Severn House,Reference Book,Digital,94.68,14/05/1991,184,,,3.0
978-0-7117-2619-2,Magazine,Particular local thus economic,Louis Valentine,Transworld,LGBTQ+,Paperback,12.21,11/04/1988,283,,,4.48
978-0-9851932-5-6,Book,Number staff lot another difficult,John Price,Harper Collins,Period Drama,Hardback,11.91,21/04/1947,309,,,1.46
978-1-964048-47-5,eBook,Nation attorney technology,Meagan Petersen,Pearson,Science Fiction,Digital,19.54,05/10/1964,230,,,4.4
978-1-57142-381-8,Book,Enough husband remember,Logan Dorsey,Harper Collins,Crime Fiction,Hardback,24.61,28/11/1944,170,,,3.22
978-1-934356-08-1,Book,Despite future industry wall hot kid,Nichole Shepherd,Harper Collins,Comedy,Paperback,18.39,13/08/1974,277,,,1.47
978-0-01-410619-6,AudioBook,National argue decade,Latoya Hicks,Random House,Travel,Audio,13.94,12/01/1959,0,03:07,Jim Dale,3.92
978-0-8220-6327-8,Book,Different win indicate operation,Kelsey Williams,Penguin Books,Travel,Hardback,17.34,29/09/1952,229,,,3.41
978-1-5328-6810-8,Book,Door white offer way they pass,Dennis Ferguson,Corner Stone,True Crime,Paperback,16.24,12/08/1999,223,,,1.75
978-0-244-55359-3,eBook,Pressure something prepare sing exactly list,Carl Wilson,Hachette Livre,Memoir and Autobiography,Digital,11.5,28/02/2007,217,,,2.37
978-1-84680-014-6,Book,Field side rise figure serious there,Julie Wilson,Transworld,Period Drama,Hardback,28.84,12/05/1941,227,,,4.03
978-0-611-19031-4,eBook,Toward safe base cause,Heidi Gill,Joffe Books,History,Digital,16.08,10/03/1974,161,,,1.77
978-1-07-789115-9,eBook,Radio describe general list,Cody Trujillo,Harper Collins,History,Digital,19.36,21/08/1990,219,,,2.23
978-0-371-85223-1,Book,Third explain baby may manager behavior,Thomas Taylor,Severn House,Comics,Hardback,34.44,06/04/1991,154,,,2.91
978-1-4271-0358-1,Book,Others foreign spring culture note,John Jennings,Harper Collins,Cooking,Paperback,18.96,09/05/1956,203,,,2.64
978-1-02-808112-7,Book,Professional no yeah,Victoria Herman,Random House,Period Drama,Paperback,20.76,23/10/1947,225,,,2.78
978-1-925817-16-4,Book,Something often part pattern,Aimee Cohen,Faber & Faber,Poetry,Paperback,17.01,16/08/2003,287,,,3.82
978-0-415-96552-1,Book,Moment music believe process appear,Edward Compton,Penguin Books,Children,Hardback,45.47,17/03/1979,157,,,2.82
978-0-313-76440-0,Magazine,However way worry fear break,Leslie Myers,Corner Stone,Poetry,Hardback,22.54,14/03/1957,233,,,2.65
978-1-4110-7387-6,Book,Country with foreign money,Andrea Bradley,Harper Collins,Young Adult,Hardback,22.07,23/11/2007,235,,,2.56
978-1-75558-462-5,Magazine,Down focus themselves among system,Michael Logan,Severn House,Classic Fiction,Paperback,13.86,02/03/2012,203,,,2.69
978-1-232-19921-2,Book,Imagine then feeling wife,Andrew Edwards,Pearson,Romance,Paperback,17.52,30/12/2001,245,,,2.04
978-1-4591-5629-6,Book,Minute boy all let reveal fly,Robert Rose,Pearson,Horror,Hardback,11.31,01/07/2006,163,,,1.64
978-0-287-27735-7,Book,Third will cell,Michael Morgan,Severn House,Reference Book,Paperback,57.21,05/09/2007,172,,,2.89
978-0-7367-9711-5,Book,Never world hear recognize process,Nicholas Davies,Faber & Faber,Poetry,Paperback,54.9,08/06/1967,180,,,2.12
978-0-04-928419-7,Book,Lead effect deal,Melissa White,Bloomsbury,Cooking,Hardback,24.74,01/12/1980,175,,,2.51
978-0-563-65132-1,Book,Prepare page parent,John Rodriguez,Pearson,True Crime,Paperback,20.01,10/03/1988,200,,,2.35
978-1-4252-6198-6,eBook,Sense decision consider sense produce country,Christopher Klein,Puffin Books,Gardening and Nature,Digital,18.32,22/07/1981,226,,,3.36
978-0-7923-6148-0,Book,Assume instead enough,Jonathan Ramirez,Transworld,History,Hardback,15.32,31/05/1962,185,,,1.84
978-1-69079-190-4,eBook,Get development prove southern issue sport,Kristen Parker,Harper Collins,History,Digital,19.69,10/09/1955,220,,,3.4
978-1-05-888761-4,Book,Rise major land big news race,Jodi Ruiz,Joffe Books,Children,Paperback,17.67,04/06/1968,251,,,2.61
978-1-192-87969-8,Magazine,Foreign quickly itself today collection,Mercedes Davis,Cambridge University Press,Crime Fiction,Paperback,22.21,14/07/1995,189,,,1.69
978-0-532-32455-3,Book,Party could their,Joshua Salinas,Corner Stone,Science Fiction,Paperback,31.54,10/09/2004,181,,,3.12
978-0-15-869378-1,Book,Memory art radio gas,Emily Smith,Cambridge University Press,Gardening and Nature,Hardback,35.18,11/08/2013,265,,,3.72
978-0-942868-88-3,eBook,Cut serve life,Sarah Harmon,Corner Stone,Horror,Digital,69.59,27/02/1977,294,,,1.15
978-1-334-20552-1,Book,Remember production something,Kimberly Green,Cambridge University Press,Horror,Paperback,37.19,25/07/1984,230,,,3.82
978-0-226-63148-6,Book,Bed thought late,Troy Smith,Faber & Faber,History,Paperback,13.0,06/01/2001,196,,,2.62
978-1-76900-717-2,eBook,Common senior campaign one very,Robert Miller,Corner Stone,Poetry,Digital,77.39,18/06/1971,252,,,2.22
978-1-195-14594-3,Book,Hotel despite available bar,Michael Alexander,Joffe Books,Fantasy,Hardback,26.29,10/07/1972,164,,,2.22
978-0-9960032-6-1,Book,Plant career everyone lay woman apply,Christian Torres,Joffe Books,Comedy,Paperback,21.21,06/07/2002,199,,,1.8
978-0-569-02485-3,eBook,We maintain improve result first,Joseph Murphy,Harper Collins,Gardening and Nature,Digital,30.69,16/02/1992,300,,,1.21
978-1-4810-7936-5,Book,Than together perform often law,Brittany Williamson,Joffe Books,Young Adult,Paperback,53.43,15/05/1955,228,,,2.5
978-1-7350419-4-0,eBook,Allow cut ahead administration,Deborah Hall,Pearson,Politics and Satire,Digital,18.31,12/01/1979,142,,,2.75
978-1-68825-957-7,Book,War difficult partner administration soldier,Noah Lang,Joffe Books,LGBTQ+,Hardback,56.18,21/09/1999,300,,,3.5
978-0-900966-84-2,Book,Anyone kind mouth behind newspaper pull,Felicia Johnson,Harper Collins,Classic Fiction,Paperback,26.54,30/01/1976,235,,,1.9
978-1-144-75827-9,Magazine,Church fact positive key church company,Brenda Wilson,Cambridge University Press,Classic Fiction,Paperback,18.89,27/08/2010,233,,,1.83
978-0-536-06635-0,Book,Tax save use home interview phone,Douglas Stokes,Cambridge University Press,Gardening and Nature,Paperback,18.58,15/11/1947,239,,,1.86
978-0-7060-6151-2,Book,Final example investment account,Sandra Warren,Joffe Books,Comics,Paperback,23.79,09/03/1987,171,,,2.59
978-1-232-91532-4,Book,Herself common various race again,Eric Jackson,Hachette Livre,True Crime,Paperback,266.68,03/11/1973,204,,,2.31
978-0-8058-1112-4,eBook,Cultural fish sense growth,James Payne,Puffin Books,Politics and Satire,Digital,18.98,23/02/1987,208,,,2.61
978-1-75508-707-2,Magazine,Effect campaign thing part,Anthony Carroll,Corner Stone,Comics,Hardback,10.76,15/01/2006,241,,,0.6
978-0-608-55499-0,Book,Home sing run people better last,Thomas Rubio,Puffin Books,Classic Fiction,Hardback,58.9,01/03/1943,209,,,1.94
978-0-01-848859-5,Book,Someone adult case nature,Leslie Murillo,Corner Stone,LGBTQ+,Hardback,14.95,19/09/1961,157,,,1.98
978-1-372-96701-6,Book,Group growth that baby might,Kevin Green,Random House,Travel,Hardback,17.47,17/03/1998,147,,,2.04
978-0-398-77258-1,Book,Thing fight owner future trip,William Cox,Corner Stone,History,Paperback,16.05,22/08/2002,284,,,2.51
978-1-382-63510-3,Book,Arm per international by,Angela Coffey,Bloomsbury,Gardening and Nature,Paperback,110.13,11/08/1951,192,,,3.06
978-1-7326146-8-0,eBook,Same health account product nor,Dustin Jones,Penguin Books,Comics,Digital,28.49,23/02/1964,235,,,1.62
978-1-273-86496-4,Book,Quite guy job pretty,Scott Jackson,Joffe Books,Poetry,Paperback,26.08,22/12/1980,251,,,2.36
978-1-332-66384-2,Book,Information very although throughout,Carolyn Mason,Corner Stone,Science Fiction,Paperback,46.15,06/05/1974,163,,,2.64
978-0-12-357953-9,Book,Through likely thing,Rhonda James,Puffin Books,Adventure Fiction,Hardback,25.99,30/06/2010,203,,,2.18
978-0-06-847853-9,Book,Agree loss cell machine,Christina Thornton,Penguin Books,Science Fiction,Hardback,29.69,08/10/1968,202,,,2.61
978-1-81301-838-3,eBook,Beyond wall dark picture my,Joseph Lam,Corner Stone,Period Drama,Digital,24.03,20/05/1955,176,,,2.69
978-1-77942-470-9,Book,Outside on section help manage picture,Joshua Taylor,Joffe Books,Comedy,Hardback,33.03,21/08/1963,183,,,3.0
978-0-699-11637-4,Magazine,Keep bed fine race whom strong,Rachel Williams,Severn House,Fantasy,Paperback,70.46,01/04/2006,182,,,3.0
978-0-9881533-9-4,eBook,Continue serious three often,Tracy Rios,Puffin Books,Fantasy,Digital,18.02,03/07/1969,217,,,3.44
978-0-449-51491-7,Magazine,Program class young place thus,Patrick Graves,Joffe Books,Classic Fiction,Paperback,24.45,26/02/1954,248,,,1.87
978-0-7070-2837-8,Book,Break seat watch,Stacy Santos,Cambridge University Press,Reference Book,Hardback,34.88,22/09/2013,149,,,2.75
978-1-339-00122-7,Magazine,Policy near arrive page approach forward,Morgan Klein,Joffe Books,Classic Fiction,Hardback,24.87,10/10/1947,213,,,3.06
978-0-8212-5121-8,Book,Town current hold drive address voice,Joy Phillips,Penguin Books,Adventure Fiction,Paperback,20.96,19/04/1948,198,,,2.67
978-1-67621-365-9,Book,Security account last particularly,Melanie Fuller,Penguin Books,Adventure Fiction,Paperback,33.64,20/06/1953,183,,,3.36
978-1-81535-588-2,Book,Read sometimes heart,Emma Robinson,Transworld,Action,Hardback,53.54,06/02/2012,224,,,2.35
978-1-276-00149-6,Book,Really skin a most,Caleb Moore,Cambridge University Press,Young Adult,Paperback,207.98,02/09/1979,136,,,4.39
978-0-699-57884-4,eBook,Your actually foot where,Timothy Ortega,Hachette Livre,Fantasy,Digital,14.4,28/08/1969,232,,,1.82
978-0-361-80730-2,Book,Arrive law particularly,Laura Rosario,Transworld,Adventure Fiction,Hardback,18.62,30/08/1950,137,,,3.33
978-1-4572-1782-1,eBook,Rule before sign,Megan Perkins,Severn House,Politics and Satire,Digital,11.05,17/10/2009,124,,,2.72
978-0-682-21401-8,Book,Loss skill election,Karen Walker,Penguin Books,Fantasy,Paperback,17.36,19/05/1943,170,,,1.65
978-1-69673-939-9,Book,Debate season through public,William Sims,Hachette Livre,Thriller,Paperback,41.84,11/04/2008,202,,,2.65
978-1-9817-5960-6,Book,Nature various such,Derrick Benson,Hachette Livre,Crime Fiction,Hardback,17.34,30/01/1978,241,,,3.26
978-1-155-98901-3,Book,Value size guy past,Scott Miller,Hachette Livre,Horror,Paperback,38.64,04/07/2004,237,,,2.44
978-0-89546-510-8,Book,Resource father indicate whether give,Michelle Whitney,Faber & Faber,True Crime,Hardback,53.06,09/06/1972,84,,,2.62
978-1-885794-37-6,Book,End positive listen year line,Rodney Lewis,Cambridge University Press,Politics and Satire,Hardback,102.04,20/12/1981,130,,,2.18
978-0-618-33169-7,Book,Physical manage spend act media everybody,Crystal Terry,Pearson,Science Fiction,Paperback,12.8,08/04/1967,168,,,1.27
978-0-9968108-5-2,eBook,Those issue newspaper throw issue,Kenneth Lane,Severn House,Travel,Digital,17.59,04/06/1971,235,,,2.44
978-1-67705-478-7,Book,Never news fund analysis bad,Taylor Figueroa,Corner Stone,Period Drama,Hardback,11.49,07/12/1994,152,,,4.0
978-1-57692-135-7,Book,Race high gas amount,April Estrada,Penguin Books,Travel,Paperback,14.8,16/07/1987,187,,,2.22
978-1-396-14526-1,Book,Almost sure movie quality build manager,Frederick Chambers,Severn House,Children,Hardback,14.01,09/08/1948,210,,,1.64
978-1-04-762270-7,Book,Mr short arrive share magazine mind race,Alan Mcmahon,Bloomsbury,Memoir and Autobiography,Hardback,29.57,22/04/2006,158,,,4.03
978-1-309-02893-3,Magazine,Who real right operation eye approach,Calvin Reilly,Random House,Religion and Spirituality,Paperback,65.73,19/03/2012,111,,,2.41
978-1-79947-120-2,Book,Board oil star fall,Hannah Gibson,Random House,Religion and Spirituality,Paperback,37.77,06/12/2012,179,,,2.05
978-1-67920-781-5,eBook,Sound behind open,Megan Delgado,Pearson,Cooking,Digital,13.8,08/12/2001,210,,,2.85
978-0-15-648388-9,Book,Whole hospital office,Heather Gardner,Severn House,Poetry,Hardback,52.96,24/06/1977,166,,,3.06
978-0-10-575805-1,Book,Suffer front stay turn,Kelly Dennis,Pearson,Religion and Spirituality,Paperback,38.92,15/02/1953,179,,,3.05
978-0-361-09107-7,eBook,Record act born,Christine Green,Pearson,Classic Fiction,Digital,18.17,27/08/2003,159,,,4.36
978-1-117-82460-4,Book,Identify care young apply attorney from,Melissa Downs,Cambridge University Press,Comics,Paperback,38.8,23/05/1950,240,,,3.11
978-1-5047-2509-5,Book,Everybody coach practice wish,Michele Jackson,Transworld,Horror,Hardback,14.73,28/06/1973,282,,,1.84
978-0-00-818948-8,Book,Republican fund marriage television look young,Troy Barnett,Hachette Livre,Politics and Satire,Paperback,18.34,25/12/1974,91,,,2.94
978-1-4221-6224-8,Book,Season particular born training charge trial,Kathy Russell,Transworld,Poetry,Paperback,43.43,24/08/1979,80,,,2.21
978-1-00-431360-0,Magazine,Use close you,Tracy Palmer,Bloomsbury,True Crime,Hardback,53.65,26/01/1947,75,,,1.14
978-1-900711-82-1,eBook,Break across section result,Troy Davenport,Hachette Livre,Poetry,Digital,19.78,02/08/1985,120,,,2.11
978-0-591-83936-4,Book,Instead eat issue affect,Henry Wilson,Puffin Books,Politics and Satire,Paperback,22.94,28/01/1999,212,,,2.2
978-1-262-17801-0,Book,Enter voice figure mean later,Rebecca Meyers,Faber & Faber,Young Adult,Paperback,22.5,01/06/2014,207,,,2.65
978-0-11-761263-1,Book,Store manage beautiful series wall,Robin White,Pearson,Horror,Hardback,15.08,03/11/1985,223,,,3.2
978-1-62034-374-6,Book,Pull owner close reveal imagine,Michael Wilson,Joffe Books,Adventure Fiction,Hardback,19.7,03/07/2013,267,,,2.42
978-1-5391-5448-8,Book,Nor then policy never,Donald Lee,Hachette Livre,History,Paperback,11.45,07/07/1941,185,,,1.95
978-0-612-64844-9,Book,Enjoy girl others,Nathan Smith,Pearson,Children,Hardback,59.07,23/08/1968,190,,,2.31
978-0-224-51751-5,Book,Thus difference after,Danielle Mclaughlin,Penguin Books,Memoir and Autobiography,Hardback,11.25,13/06/2008,313,,,2.01
978-0-936405-24-7,Book,Night nor world fine consumer head,Jeffrey Miles,Cambridge University Press,Comics,Paperback,36.84,06/09/1974,227,,,3.46
978-1-390-46840-3,Book,Collection behavior paper,Melissa Nguyen,Cambridge University Press,Children,Paperback,14.85,04/05/1999,139,,,3.82
978-0-328-07133-3,AudioBook,Kind can middle per role,Danielle Cook,Harper Collins,Action,Audio,273.59,15/07/1964,0,05:07,Kemmofer Ikeda,3.04
978-0-565-58735-2,Book,House spring item when,Justin Smith,Harper Collins,Action,Paperback,31.81,31/08/1969,198,,,0.97
978-0-9723748-2-8,eBook,Alone consider town,Cheryl Burch,Joffe Books,Reference Book,Digital,24.12,03/05/1944,188,,,3.48
978-1-4522-4798-4,Book,Shake itself fear movie,Monica Smith,Hachette Livre,Poetry,Paperback,24.73,23/03/2011,171,,,2.04
978-0-550-07794-3,Book,Product marriage news address girl special,Shawna Matthews,Faber & Faber,Adventure Fiction,Paperback,10.26,25/09/1951,190,,,3.08
978-0-938330-98-1,Book,Evidence finish difficult good charge,Jocelyn Douglas,Joffe Books,Comedy,Paperback,13.2,14/06/1972,170,,,2.2
978-1-59438-009-9,Book,Senior office themselves both arm let,Emily Bishop,Corner Stone,Adventure Fiction,Hardback,21.59,05/08/1977,172,,,3.03
978-1-56897-304-3,Book,Plan politics sort,Timothy Tran,Cambridge University Press,Religion and Spirituality,Hardback,24.84,05/06/2012,157,,,4.6
978-1-86848-627-4,Book,It system major,Michelle Mays,Pearson,Young Adult,Paperback,21.49,26/06/1989,147,,,2.42
978-0-575-25878-5,Book,Seven among across notice pressure,Helen Walsh,Transworld,LGBTQ+,Paperback,39.02,29/09/2004,246,,,1.42
978-1-267-91287-9,Book,Front minute spend democratic study,Jonathan Blackburn,Random House,True Crime,Paperback,68.05,23/04/1941,191,,,1.95
978-1-181-40939-4,Magazine,Summer project writer its until,Jessica Myers,Cambridge University Press,Religion and Spirituality,Paperback,119.55,03/07/2014,187,,,2.04
978-0-302-97244-1,Book,Mother radio teacher return community,Brandon Garcia,Pearson,Crime Fiction,Hardback,12.34,02/06/1971,152,,,2.23
978-0-7548-9668-5,Book,Ago fund rock,Hannah Perry,Cambridge University Press,Religion and Spirituality,Hardback,14.24,13/07/1956,188,,,3.28
978-1-60600-415-9,Book,Ask themselves interview,Gloria Graham,Cambridge University Press,Crime Fiction,Paperback,46.07,10/10/1961,172,,,2.86
978-0-625-01909-0,Book,Strategy everyone could,Stephanie Reeves,Corner Stone,Memoir and Autobiography,Hardback,18.85,30/06/1948,198,,,2.14
978-0-12-979167-6,eBook,Story particular like unit wish argue,Crystal Spears,Penguin Books,Romance,Digital,10.32,05/05/1998,180,,,1.94
978-1-4992-3389-6,Book,Wonder hair sound decision former,Donald Walker,Penguin Books,Classic Fiction,Paperback,10.2,09/05/1947,200,,,2.48
978-0-245-75674-0,eBook,Star ability team development heart project,John Arnold,Transworld,Romance,Digital,27.31,15/10/1993,251,,,1.8
978-1-59614-940-3,Book,Prepare young huge defense their,Sally Osborne,Faber & Faber,Comedy,Hardback,23.04,10/03/1968,168,,,1.54
978-0-04-501187-2,Book,Early face cold,Lisa Taylor,Random House,Cooking,Paperback,30.53,15/11/1982,202,,,2.05
978-1-180-22189-8,Book,Body citizen floor phone,Justin Medina,Bloomsbury,Romance,Hardback,18.58,04/06/1997,214,,,2.59
978-0-16-935969-0,Book,Capital know themselves develop,Samantha Fletcher,Corner Stone,Comedy,Paperback,42.74,05/03/2003,209,,,3.59
978-1-5390-8019-0,Book,Set accept particularly,Kimberly Holt,Cambridge University Press,Thriller,Hardback,25.65,10/10/1946,186,,,3.45
978-0-560-07610-3,AudioBook,Media good seek discuss,Diane Ellis,Hachette Livre,Period Drama,Audio,21.27,26/11/1966,0,07:42,Bahni Turpin,2.11
978-0-7304-1055-3,Book,Share than language risk,Katelyn Morris,Corner Stone,Crime Fiction,Hardback,37.54,20/12/1941,217,,,1.2
978-1-05-872583-1,Book,State decision discover seem participant level,Robyn Sanford,Faber & Faber,Fantasy,Paperback,23.21,17/12/1977,250,,,2.26
978-1-82686-768-8,Book,Trade they benefit guy ready heavy third,Gregory Austin,Bloomsbury,Poetry,Paperback,15.29,27/11/1991,226,,,3.57
978-0-555-98122-1,Book,Find about strong rule,Jeffrey Diaz,Faber & Faber,Children,Paperback,13.23,12/05/1953,110,,,2.61
978-0-459-74796-1,Magazine,Reveal very suffer,Hannah Ward,Puffin Books,Comedy,Paperback,46.8,22/10/1941,200,,,2.22
978-0-05-071222-1,Book,Surface staff cause with reflect add,Daniel Hamilton,Bloomsbury,Comedy,Paperback,24.73,19/04/1978,122,,,2.4
978-0-936643-53-3,Book,Oil discuss while expect kind heavy,Allison Sanchez,Faber & Faber,Travel,Hardback,22.4,03/03/1982,203,,,2.46
978-0-686-43803-8,Book,On either travel clear dream,William Harris,Faber & Faber,Science Fiction,Hardback,47.68,01/08/1991,212,,,3.2
978-1-5250-9715-7,Magazine,Pay more economic,Frank Turner,Transworld,Travel,Paperback,16.81,22/04/1973,225,,,3.19
978-0-499-94123-7,Book,Happy she season me picture fight,Dean Francis,Severn House,Period Drama,Hardback,95.53,15/01/1985,175,,,2.51
978-1-347-98924-1,Book,Scene plant world agreement,Jane Waters,Puffin Books,Gardening and Nature,Hardback,17.46,20/10/1972,271,,,2.95
978-1-242-31200-7,Book,All color thus car least,Jacqueline Dougherty,Cambridge University Press,Young Adult,Hardback,38.37,20/02/2011,234,,,0.91
978-1-63130-395-1,Book,Main benefit discover total involve,Catherine Campos,Corner Stone,Comedy,Hardback,11.99,13/05/2016,157,,,3.06
978-0-208-69369-3,Book,So institution lot,Sharon Rivas,Bloomsbury,Cooking,Hardback,52.22,03/09/1943,171,,,1.85
978-1-07-948995-8,Book,Community seek difficult father leg,Denise Wilson,Bloomsbury,Young Adult,Hardback,13.34,04/06/1998,309,,,2.68
978-0-645-85984-3,Book,Part person particular,Melissa Garcia,Random House,True Crime,Paperback,18.28,25/02/1997,207,,,1.61
978-0-252-65426-8,Book,Catch against impact civil join also,Christopher Garza,Corner Stone,Action,Paperback,19.36,26/12/1950,224,,,1.59
978-1-350-41378-8,AudioBook,Cold machine in,Amanda Crawford,Transworld,Reference Book,Audio,62.92,28/03/1946,0,12:43,Kemmofer Ikeda,1.98
978-1-4933-4795-7,Book,Often pay lawyer,David Davis,Puffin Books,Politics and Satire,Hardback,19.52,02/02/1965,173,,,2.99
978-0-255-66236-9,Book,Quickly sit foreign,Steven Becker,Puffin Books,Reference Book,Paperback,14.36,12/07/1986,169,,,2.44
978-1-65923-915-7,Book,Particular moment study rule less,Kimberly Green,Faber & Faber,Horror,Paperback,40.04,13/03/2016,173,,,2.61
978-1-177-45286-1,Book,Simple or also who,Wesley Guerrero,Joffe Books,History,Paperback,22.21,22/01/2011,214,,,3.21
978-0-01-828002-1,Book,Number strategy whole piece best hour,Jose King,Transworld,Politics and Satire,Paperback,31.01,14/02/1975,263,,,2.86
978-1-09-721004-6,Book,Bad hard management two value financial,Andrew Davis,Cambridge University Press,Science Fiction,Hardback,24.42,27/05/2011,305,,,2.61
978-0-9989746-8-2,Book,Floor control film live scientist husband,Shirley Martin,Harper Collins,Fantasy,Hardback,31.37,07/01/1958,247,,,3.22
978-0-7861-2620-0,Book,Writer relate black break,Sean Rojas,Cambridge University Press,History,Paperback,22.65,19/10/1982,137,,,3.66
978-0-306-44301-5,eBook,Laugh sense race message wish edge air,Amanda Garrett,Penguin Books,Young Adult,Digital,17.78,21/12/1962,136,,,2.2
978-0-397-12009-3,Book,Capital building after,Randy Yates,Bloomsbury,Classic Fiction,Hardback,25.65,14/03/1960,179,,,3.06
978-1-82127-673-7,Book,Wind produce heart,Amy Bowman,Faber & Faber,Adventure Fiction,Hardback,12.71,08/01/1957,183,,,3.11
978-0-16-631848-5,Book,Hand building staff,Wendy Holmes,Bloomsbury,Science Fiction,Paperback,35.9,12/08/1967,137,,,2.11
978-0-309-97838-5,Book,About pass movement culture factor,Allen Brown,Corner Stone,Thriller,Paperback,11.52,05/10/1961,147,,,2.3
978-0-688-54133-0,Book,Nice sense full dark,Angela Baker,Hachette Livre,Young Adult,Paperback,58.91,21/02/1976,178,,,2.92
978-0-934198-00-4,Book,Hard question or current matter,Erin Lopez,Faber & Faber,LGBTQ+,Hardback,28.09,10/06/2013,202,,,3.22
978-1-7371452-3-3,Book,Your current focus hard go role,Steven Mcknight,Random House,Poetry,Paperback,43.45,07/12/1942,286,,,3.04
978-0-257-36165-9,eBook,Side view away,Robert Phillips,Pearson,Travel,Digital,35.92,29/03/1970,163,,,1.55
978-0-7472-8103-0,Book,Heavy end reason,Rose Larson,Corner Stone,Poetry,Paperback,10.78,23/04/1953,150,,,2.97
978-1-4918-2449-8,eBook,Drug grow race,Melissa Anderson,Harper Collins,Children,Digital,38.85,29/12/1951,238,,,2.9
978-1-950587-01-8,Book,Box more then popular,James Henderson,Hachette Livre,Action,Paperback,12.0,28/07/2001,131,,,2.58
978-0-9827154-6-8,Book,Year tonight wide air production,Michele May,Faber & Faber,Travel,Hardback,24.92,22/02/2012,237,,,2.12
978-1-284-24399-4,Book,High store ok blue,Andrew Hubbard,Penguin Books,Crime Fiction,Hardback,25.23,01/11/1952,191,,,1.75
978-1-288-36344-5,Book,Bed much east,Sandra Shelton,Pearson,Politics and Satire,Paperback,44.86,01/06/1971,200,,,1.16
978-0-13-118708-5,Book,Stuff significant sit live building,William Pierce,Hachette Livre,Thriller,Hardback,44.84,19/03/1986,240,,,3.13
978-1-877923-02-9,Book,Course economic stock,Anthony Middleton,Cambridge University Press,Cooking,Hardback,21.63,13/11/1952,186,,,2.71
978-1-274-85162-8,Magazine,Become commercial down today,Connor Stevenson,Severn House,Religion and Spirituality,Paperback,30.05,20/05/1970,219,,,2.4
978-1-09-724930-5,Book,Bag read career believe season,Jose Caldwell,Penguin Books,Classic Fiction,Paperback,10.98,09/03/1958,225,,,2.63
978-0-588-19092-8,Magazine,Too actually standard open,Ronald Avila,Random House,Crime Fiction,Hardback,22.28,19/11/1996,142,,,2.99
978-1-949051-28-5,Book,Rule of industry situation evening enjoy,David Rush,Cambridge University Press,Romance,Paperback,18.04,12/01/2012,124,,,2.1
978-1-56469-557-4,eBook,Far I lawyer,Joshua Barry,Severn House,True Crime,Digital,17.26,02/05/1947,248,,,2.0
978-0-637-98584-0,Book,Political national against member,Luis Vasquez,Pearson,Religion and Spirituality,Paperback,28.29,27/01/1964,173,,,1.02
978-1-65754-603-5,Book,Least hand population care,Grant Dudley,Joffe Books,Romance,Hardback,19.96,12/05/1955,204,,,2.69
978-1-108-12683-0,Book,Wonder here agent bag poor,Susan Carpenter,Harper Collins,Gardening and Nature,Paperback,63.42,20/06/1981,272,,,2.49
